,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
0,39.1,?,181,3750,Adelie
1,39.5,17.4,186,?,Adelie
2,40.3,?,195,?,Adelie
3,36.7,19.3,193,3450,Adelie
4,?,?,?,3650,Adelie
5,38.9,?,181,3625,Adelie
6,39.2,?,?,?,Adelie
7,?,17.6,182,3200,Adelie
8,?,?,191,3800,Adelie
9,34.6,21.1,198,4400,Adelie
10,?,17.8,185,3700,Adelie
11,38.7,19,?,3450,Adelie
12,?,20.7,197,4500,Adelie
13,34.4,18.4,184,?,Adelie
14,?,21.5,194,?,Adelie
15,37.8,18.3,174,?,Adelie
16,?,18.7,180,?,Adelie
17,35.9,19.2,?,3800,Adelie
18,38.2,18.1,?,3950,Adelie
19,38.8,17.2,180,?,Adelie
20,35.3,18.9,187,3800,Adelie
21,40.6,?,183,?,Adelie
22,?,?,?,?,Adelie
23,?,18.6,?,?,Adelie
24,40.5,18.9,180,?,Adelie
25,?,?,178,3250,Adelie
26,37.2,?,?,?,Adelie
27,39.5,?,188,?,Adelie
28,40.9,18.9,?,?,Adelie
29,36.4,17,195,3325,Adelie
30,39.2,21.1,?,4150,Adelie
31,?,?,190,3950,Adelie
32,?,?,?,3550,Adelie
33,?,?,?,3300,Adelie
34,39.8,?,184,?,Adelie
35,?,18,182,3150,Adelie
36,?,?,?,?,Adelie
37,36,?,?,3100,Adelie
38,?,19.7,196,4400,Adelie
39,?,16.9,?,3000,Adelie
40,39.6,18.8,190,4600,Adelie
41,41.1,?,182,3425,Adelie
42,36,17.9,?,?,Adelie
43,?,21.2,191,4150,Adelie
44,39.6,17.7,186,?,Adelie
45,40.1,?,?,4300,Adelie
46,35,?,190,?,Adelie
47,?,?,?,?,Adelie
48,?,?,187,2900,Adelie
49,?,?,191,3700,Adelie
50,?,17.5,186,3550,Adelie
51,?,?,?,?,Adelie
52,?,16.6,181,?,Adelie
53,?,19.1,194,3750,Adelie
54,?,?,?,?,Adelie
55,?,21.1,195,?,Adelie
56,?,17,185,?,Adelie
57,?,18.2,?,?,Adelie
58,?,17.1,184,?,Adelie
59,?,18,?,?,Adelie
60,?,?,195,?,Adelie
61,?,?,?,4100,Adelie
62,?,16.6,?,3050,Adelie
63,?,?,?,?,Adelie
64,33.5,19,190,3600,Adelie
65,?,18.4,?,3900,Adelie
66,?,?,?,3550,Adelie
67,45.8,18.9,197,4150,Adelie
68,?,17.5,190,3700,Adelie
69,42.8,18.5,?,4250,Adelie
70,40.9,16.8,?,?,Adelie
71,?,?,?,3900,Adelie
72,36.2,16.1,?,?,Adelie
73,?,19.1,195,4000,Adelie
74,34.6,17.2,189,3200,Adelie
75,42.9,17.6,?,4700,Adelie
76,36.7,?,187,?,Adelie
77,35.1,19.4,?,?,Adelie
78,?,17.8,191,3350,Adelie
79,?,?,194,3550,Adelie
80,?,19.5,?,3800,Adelie
81,?,18.6,189,?,Adelie
82,?,?,189,?,Adelie
83,?,18.8,190,3600,Adelie
84,?,18,202,?,Adelie
85,?,18.1,?,4300,Adelie
86,?,?,?,3400,Adelie
87,39.6,?,186,4450,Adelie
88,36.2,?,187,3300,Adelie
89,?,?,208,4300,Adelie
90,?,18.6,?,3700,Adelie
91,40.3,?,?,?,Adelie
92,33.1,16.1,?,?,Adelie
93,43.2,18.5,192,?,Adelie
94,?,?,192,?,Adelie
95,?,20,203,?,Adelie
96,?,?,183,?,Adelie
97,?,20,190,4250,Adelie
98,37.9,?,?,2925,Adelie
99,39.7,18.9,184,?,Adelie
100,38.6,?,199,3750,Adelie
101,38.2,?,?,3900,Adelie
102,?,17,181,3175,Adelie
103,43.2,?,?,?,Adelie
104,?,16.5,198,3825,Adelie
105,45.6,20.3,?,?,Adelie
106,39.7,?,193,3200,Adelie
107,42.2,?,?,4275,Adelie
108,?,20.7,?,3900,Adelie
109,42.7,?,196,?,Adelie
110,38.6,17,188,?,Adelie
111,37.3,20.5,199,3775,Adelie
112,?,17,?,3350,Adelie
113,?,18.6,189,?,Adelie
114,36.2,17.2,?,3150,Adelie
115,?,19.8,198,?,Adelie
116,?,17,?,?,Adelie
117,?,?,?,?,Adelie
118,35.2,?,186,?,Adelie
119,?,19,199,4000,Adelie
120,?,?,191,3275,Adelie
121,?,18.3,?,?,Adelie
122,39,17.1,191,3050,Adelie
123,?,?,210,4000,Adelie
124,38.5,17.9,?,3325,Adelie
125,43.1,?,?,?,Adelie
126,?,18.5,?,3500,Adelie
127,37.5,18.5,?,4475,Adelie
128,?,17.6,187,3425,Adelie
129,?,?,190,?,Adelie
130,35.6,?,191,3175,Adelie
131,?,20.1,200,3975,Adelie
132,37,?,?,3400,Adelie
133,?,?,193,4250,Adelie
134,40.2,17.1,?,?,Adelie
135,40.6,?,?,3475,Adelie
136,?,15.5,?,3050,Adelie
137,?,?,?,3725,Adelie
138,?,?,192,?,Adelie
139,39,?,?,3650,Adelie
140,39.2,18.6,190,4250,Adelie
141,?,18.4,184,3475,Adelie
142,36,?,195,?,Adelie
143,?,18.1,?,3750,Adelie
144,36,17.1,?,3700,Adelie
145,?,18.5,201,4000,Adelie
146,?,13.2,211,4500,Gentoo
147,50,16.3,?,5700,Gentoo
148,48.7,14.1,?,?,Gentoo
149,50,15.2,218,5700,Gentoo
150,47.6,14.5,215,5400,Gentoo
151,46.5,?,210,4550,Gentoo
152,?,14.6,211,4800,Gentoo
153,?,?,219,5200,Gentoo
154,?,13.4,?,4400,Gentoo
155,46.8,?,215,5150,Gentoo
156,?,13.7,214,4650,Gentoo
157,?,16.1,?,5550,Gentoo
158,?,13.7,?,?,Gentoo
159,?,?,213,?,Gentoo
160,?,14.6,210,4200,Gentoo
161,?,15.7,?,5850,Gentoo
162,?,?,?,4150,Gentoo
163,49.2,15.2,221,?,Gentoo
164,46.2,14.5,?,?,Gentoo
165,48.7,15.1,?,5350,Gentoo
166,50.2,?,?,5700,Gentoo
167,45.1,14.5,215,?,Gentoo
168,?,14.5,?,?,Gentoo
169,46.3,15.8,?,5050,Gentoo
170,42.9,?,?,?,Gentoo
171,46.1,15.1,215,?,Gentoo
172,?,?,215,5650,Gentoo
173,48.2,?,210,4600,Gentoo
174,?,15.3,220,5550,Gentoo
175,47.3,15.3,222,5250,Gentoo
176,42.8,?,?,4700,Gentoo
177,45.1,14.5,207,?,Gentoo
178,59.6,17,?,?,Gentoo
179,49.1,?,220,?,Gentoo
180,48.4,16.3,?,5400,Gentoo
181,42.6,13.7,?,4950,Gentoo
182,44.4,?,219,5250,Gentoo
183,44,?,208,4350,Gentoo
184,48.7,?,?,5350,Gentoo
185,42.7,?,208,3950,Gentoo
186,49.6,?,?,5700,Gentoo
187,45.3,?,?,4300,Gentoo
188,49.6,?,216,?,Gentoo
189,50.5,15.9,?,?,Gentoo
190,43.6,13.9,?,4900,Gentoo
191,45.5,?,210,4200,Gentoo
192,50.5,15.9,225,5400,Gentoo
193,44.9,13.3,?,?,Gentoo
194,?,15.8,215,5300,Gentoo
195,46.6,?,210,4850,Gentoo
196,48.5,14.1,220,?,Gentoo
197,?,14.4,?,4400,Gentoo
198,?,?,?,5000,Gentoo
199,46.5,14.4,?,?,Gentoo
200,45,15.4,?,5050,Gentoo
201,43.8,?,208,4300,Gentoo
202,?,?,220,?,Gentoo
203,?,?,208,4450,Gentoo
204,?,?,224,?,Gentoo
205,45.3,13.8,208,?,Gentoo
206,46.2,?,221,5300,Gentoo
207,45.7,13.9,?,4400,Gentoo
208,54.3,?,231,?,Gentoo
209,?,14.2,219,?,Gentoo
210,49.8,?,230,5700,Gentoo
211,49.5,?,229,?,Gentoo
212,43.5,14.2,220,4700,Gentoo
213,50.7,15,?,5550,Gentoo
214,47.7,15,216,?,Gentoo
215,46.4,15.6,221,5000,Gentoo
216,?,15.6,221,?,Gentoo
217,46.5,?,217,?,Gentoo
218,46.4,?,216,?,Gentoo
219,?,?,230,?,Gentoo
220,47.5,14.2,209,?,Gentoo
221,?,?,220,6000,Gentoo
222,45.2,13.8,?,?,Gentoo
223,45.2,16.4,223,5950,Gentoo
224,49.1,14.5,212,?,Gentoo
225,52.5,?,221,5450,Gentoo
226,?,14.6,212,?,Gentoo
227,?,15.9,224,?,Gentoo
228,44.9,13.8,212,4750,Gentoo
229,?,17.3,?,5600,Gentoo
230,?,14.4,218,?,Gentoo
231,51.3,14.2,?,5300,Gentoo
232,47.5,14,212,?,Gentoo
233,52.1,?,230,?,Gentoo
234,47.5,?,218,4950,Gentoo
235,52.2,?,?,?,Gentoo
